Config,Lambda_KE,Lambda_JF,Log_Prob,NFE,Log_Prob_Diff,NFE_Diff
"λ_KE=0.0, λ_JF=0.0",0.0,0.0,75.5241170755047,2512,0.0,0
"λ_KE=0.01, λ_JF=0.0",0.01,0.0,76.90855370684778,1948,1.3844366313430783,-564
"λ_KE=0.0, λ_JF=0.01",0.0,0.01,71.64375216971574,1552,-3.8803649057889658,-960
"λ_KE=0.01, λ_JF=0.01",0.01,0.01,75.17744194205764,2572,-0.34667513344706435,60
"λ_KE=0.1, λ_JF=0.0",0.1,0.0,85.95120032120747,3388,10.427083245702761,876
"λ_KE=0.0, λ_JF=0.1",0.0,0.1,66.59066392307312,1912,-8.933453152431582,-600
"λ_KE=0.1, λ_JF=0.1",0.1,0.1,66.74548988638163,1792,-8.778627189123071,-720
